Year,Arctic Sea Ice Extent (million square km)
1979,6.9
1980,7.54
1981,6.9
1982,7.17
1983,7.22
1984,6.43
1985,6.49
1986,7.16
1987,6.96
1988,7.13
1989,6.91
1990,6.04
1991,6.3
1992,7.21
1993,6.18
1994,6.96
1995,6.03
1996,7.19
1997,6.63
1998,6.35
1999,5.76
2000,5.98
2001,6.6
2002,5.64
2003,6.01
2004,5.79
2005,5.32
2006,5.77
2007,4.16
2008,5.59
2009,5.12
2010,4.62
2011,4.34
2012,3.39
2013,5.05
2014,5.03
2015,4.43
2016,4.17
2017,4.67
2018,4.66
2019,4.19
2020,3.82
2021,4.72
2022,4.67
